chr,num_daner_snps,num_lijmc_snps,num_common_snps,num_snps_lt_0.05,num_clumps
1,591519,61866,58815,8936,1025
2,645775,59482,57140,8437,1023
3,547595,48871,47374,7208,891
4,561931,44888,42146,5653,813
5,499263,44501,43302,6020,796
6,511775,57331,53755,12476,820
7,451392,40499,38795,5767,695
8,429150,40451,38216,5846,635
9,331205,35422,33420,4428,556
10,391784,40201,37912,4588,604
11,382986,37806,36735,5378,617
12,370159,36936,35810,4950,614
13,286511,27184,26599,3539,460
14,252933,23517,22966,3437,441
15,219027,22428,21359,3345,419
16,237824,23706,22362,3285,426
17,203061,20838,19819,2930,390
18,222235,21466,20793,2698,372
19,172752,15992,15081,1806,280
20,174070,20277,18615,2271,327
21,107413,10947,10513,1230,187
22,106125,10948,10632,1714,214
